filename,width,height,class,xmin,ymin,xmax,ymax
IMG-20181103-WA0006.jpg,585,1040,paneer,236,256,346,392
IMG-20181103-WA0006.jpg,585,1040,paneer,65,276,157,390
IMG-20181103-WA0006.jpg,585,1040,paneer,160,281,232,395
IMG-20181103-WA0006.jpg,585,1040,setcurd,70,607,155,685
IMG-20181103-WA0006.jpg,585,1040,setcurd,69,688,154,766
IMG-20181103-WA0006.jpg,585,1040,setcurd,161,710,217,771
IMG-20181103-WA0006.jpg,585,1040,setcurd,159,636,215,712
IMG-20181103-WA0006.jpg,585,1040,curd,78,868,181,929
IMG-20181103-WA0006.jpg,585,1040,curd,342,884,442,970
IMG-20181103-WA0006.jpg,585,1040,curd,269,885,341,973
IMG-20181103-WA0006.jpg,585,1040,curd,193,879,265,967
IMG-20181103-WA0006.jpg,585,1040,curd,107,827,177,863
IMG-20181103-WA0006.jpg,585,1040,curd,189,832,259,868
IMG-20181103-WA0006.jpg,585,1040,curd,341,815,449,883
IMG-20181103-WA0006.jpg,585,1040,tablebutter,60,459,125,508
IMG-20181103-WA0006.jpg,585,1040,tablebutter,124,467,189,516
IMG-20181103-WA0006.jpg,585,1040,tablebutter,194,483,259,506
IMG-20181103-WA0006.jpg,585,1040,tablebutter,65,514,130,563
IMG-20181103-WA0006.jpg,585,1040,tablebutter,193,505,258,528
IMG-20181103-WA0006.jpg,585,1040,tablebutter,129,512,185,562
IMG-20181103-WA0006.jpg,585,1040,tablebutter,193,528,257,545
IMG-20181103-WA0006.jpg,585,1040,tablebutter,191,547,255,564
IMG-20181103-WA0006.jpg,585,1040,tablebutter,259,493,318,516
IMG-20181103-WA0006.jpg,585,1040,tablebutter,262,516,321,539
IMG-20181103-WA0006.jpg,585,1040,tablebutter,260,544,319,567
IMG-20181103-WA0007.jpg,585,1040,paneer,217,250,320,363
IMG-20181103-WA0007.jpg,585,1040,paneer,134,263,222,357
IMG-20181103-WA0007.jpg,585,1040,paneer,48,271,129,359
IMG-20181103-WA0007.jpg,585,1040,setcurd,68,561,146,646
IMG-20181103-WA0007.jpg,585,1040,setcurd,70,647,146,727
IMG-20181103-WA0007.jpg,585,1040,setcurd,148,603,199,670
IMG-20181103-WA0007.jpg,585,1040,setcurd,150,672,194,728
IMG-20181103-WA0007.jpg,585,1040,tablebutter,51,430,118,478
IMG-20181103-WA0007.jpg,585,1040,tablebutter,121,449,182,481
IMG-20181103-WA0007.jpg,585,1040,tablebutter,55,479,118,528
IMG-20181103-WA0007.jpg,585,1040,tablebutter,121,479,181,528
IMG-20181103-WA0007.jpg,585,1040,tablebutter,184,451,241,480
IMG-20181103-WA0007.jpg,585,1040,tablebutter,182,482,242,505
IMG-20181103-WA0007.jpg,585,1040,tablebutter,181,506,241,529
IMG-20181103-WA0007.jpg,585,1040,tablebutter,243,463,302,475
IMG-20181103-WA0007.jpg,585,1040,tablebutter,244,478,303,490
IMG-20181103-WA0007.jpg,585,1040,tablebutter,244,492,303,504
